4.648979959535038953e-01,5.188463113867355370e-01,6.460751036403511449e-01,7.213059130878043401e-01,8.194172404873331095e-01
3.953491125138224316e-01,4.970528204531222127e-01,4.646718127423478117e-01,5.464118334720626802e-01,6.664078303879157339e-01
4.582061340213108847e-01,5.092831702460637322e-01,5.451630404059433221e-01,6.515786746700624743e-01,6.268449916791024590e-01
5.751064920071741193e-01,5.690865744680285720e-01,6.096630165407741497e-01,7.438838982747921769e-01,7.597940888688312633e-01
3.571985804349666060e-01,4.636421574849792226e-01,6.373638084962341965e-01,6.913093953626131549e-01,8.777872396133380439e-01
5.380867176631716209e-01,5.278440898415127647e-01,5.785091441083941577e-01,4.280691339966079534e-01,4.936162010003963263e-01
5.340005598357622230e-01,6.000965128340880472e-01,6.025275027311386422e-01,4.752868946987114929e-01,7.743394573537404346e-01
5.358132776451168811e-01,5.713727041706888610e-01,6.739376085362089874e-01,4.407977859050521419e-01,7.224305630283298640e-01
5.273824409633629529e-01,5.556733363146810767e-01,5.966232486103972832e-01,4.584020709626702161e-01,6.953765493645386320e-01
5.510544357603180954e-01,8.337906211435623938e-01,8.969722107957401880e-01,7.271698889345947769e-01,7.775732225897958871e-01
6.037852263117337026e-01,5.903360224876094131e-01,6.727950478970182724e-01,7.546002801877598198e-01,7.764429006225448404e-01
