4.668638661969882753e-01,5.430007535735690283e-01,6.853137610976594019e-01,8.052968858004954100e-01
3.174932930999173619e-01,4.842286830464256897e-01,5.576011588376383887e-01,6.670071033645138536e-01
4.264038771106908321e-01,4.750233810288563285e-01,6.527688922171464014e-01,6.232375464175868851e-01
6.042941739852196736e-01,5.547030537466508537e-01,7.553700769224901412e-01,7.547740802171162278e-01
3.449437251417449279e-01,4.970077536599814549e-01,7.409767178640941365e-01,8.816084954091548687e-01
5.255821034259950952e-01,5.300816070966489768e-01,4.234131840692624271e-01,5.043897926516830443e-01
5.111881583396743478e-01,5.835072697739989156e-01,5.345085496905845890e-01,7.731454795464767216e-01
4.586094346969682434e-01,5.068626195146845870e-01,4.613700837706680713e-01,7.370917640514761393e-01
5.264416943495182633e-01,5.361886686637749033e-01,5.039185058288107033e-01,6.473202286966738273e-01
6.163211298505416602e-01,8.673961332784863032e-01,7.754979660862013624e-01,7.761052922954673194e-01
